"filename", "language", "PHP", "JSON", "SQL", "CSS", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\P002_PCTOProject\accountA.php", "PHP", 84, 0, 0, 0, 0, 2, 9, 95
"c:\xampp\htdocs\P002_PCTOProject\accountS.php", "PHP", 100, 0, 0, 0, 0, 3, 9, 112
"c:\xampp\htdocs\P002_PCTOProject\aziendeA.php", "PHP", 170, 0, 0, 0, 0, 2, 16, 188
"c:\xampp\htdocs\P002_PCTOProject\aziendeS.php", "PHP", 305, 0, 0, 0, 0, 4, 26, 335
"c:\xampp\htdocs\P002_PCTOProject\composer.json", "JSON", 0, 5, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\P002_PCTOProject\composer.lock", "JSON", 0, 54, 0, 0, 0, 0, 1, 55
"c:\xampp\htdocs\P002_PCTOProject\connection.php", "PHP", 14, 0, 0, 0, 0, 0, 4, 18
"c:\xampp\htdocs\P002_PCTOProject\diarioDiBordo.php", "PHP", 114, 0, 0, 0, 0, 0, 9, 123
"c:\xampp\htdocs\P002_PCTOProject\diarioDiBordoA.php", "PHP", 137, 0, 0, 0, 0, 2, 12, 151
"c:\xampp\htdocs\P002_PCTOProject\diarioDiBordoS.php", "PHP", 155, 0, 0, 0, 0, 0, 13, 168
"c:\xampp\htdocs\P002_PCTOProject\home.php", "PHP", 89, 0, 0, 0, 0, 0, 3, 92
"c:\xampp\htdocs\P002_PCTOProject\homeA.php", "PHP", 148, 0, 0, 0, 0, 0, 8, 156
"c:\xampp\htdocs\P002_PCTOProject\homeS.php", "PHP", 149, 0, 0, 0, 0, 0, 8, 157
"c:\xampp\htdocs\P002_PCTOProject\index.php", "PHP", 857, 0, 0, 0, 0, 56, 150, 1063
"c:\xampp\htdocs\P002_PCTOProject\indexBackup.php", "PHP", 607, 0, 0, 0, 0, 21, 90, 718
"c:\xampp\htdocs\P002_PCTOProject\infoAziendaA.php", "PHP", 212, 0, 0, 0, 0, 3, 21, 236
"c:\xampp\htdocs\P002_PCTOProject\infoStudenteA.php", "PHP", 338, 0, 0, 0, 0, 6, 23, 367
"c:\xampp\htdocs\P002_PCTOProject\infoaziendaS.php", "PHP", 339, 0, 0, 0, 0, 5, 32, 376
"c:\xampp\htdocs\P002_PCTOProject\modificaStudente.php", "PHP", 127, 0, 0, 0, 0, 0, 15, 142
"c:\xampp\htdocs\P002_PCTOProject\prova.php", "PHP", 249, 0, 0, 0, 0, 1, 23, 273
"c:\xampp\htdocs\P002_PCTOProject\provaCArd.php", "PHP", 106, 0, 0, 0, 0, 0, 8, 114
"c:\xampp\htdocs\P002_PCTOProject\signupA.php", "PHP", 72, 0, 0, 0, 0, 0, 4, 76
"c:\xampp\htdocs\P002_PCTOProject\signupS.php", "PHP", 86, 0, 0, 0, 0, 0, 4, 90
"c:\xampp\htdocs\P002_PCTOProject\sql\pctodatabase.sql", "SQL", 0, 0, 201, 0, 0, 135, 72, 408
"c:\xampp\htdocs\P002_PCTOProject\studentiA.php", "PHP", 171, 0, 0, 0, 0, 2, 23, 196
"c:\xampp\htdocs\P002_PCTOProject\tmp\2lbqqywdadus8.3k5hlhmwljmss.php", "PHP", 280, 0, 0, 0, 0, 3, 25, 308
"c:\xampp\htdocs\P002_PCTOProject\vendor\autoload.php", "PHP", 20, 0, 0, 0, 0, 1, 5, 26
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 1024, 0, 33, 1057
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\README.md", "Markdown", 0, 0, 0, 0, 21, 0, 9, 30
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\audit.php", "PHP", 86, 0, 0, 0, 0, 89, 18, 193
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\auth.php", "PHP", 170, 0, 0, 0, 0, 79, 14, 263
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\base.php", "PHP", 2687, 0, 0, 0, 0, 799, 152, 3638
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\basket.php", "PHP", 107, 0, 0, 0, 0, 110, 23, 240
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\bcrypt.php", "PHP", 44, 0, 0, 0, 0, 44, 9, 97
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\cli\ws.php", "PHP", 322, 0, 0, 0, 0, 133, 33, 488
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\code.css", "CSS", 0, 0, 0, 1, 0, 0, 1, 2
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\composer.json", "JSON", 0, 12, 0, 0, 0, 0, 1, 13
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\db\cursor.php", "PHP", 133, 0, 0, 0, 0, 212, 45, 390
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\db\jig.php", "PHP", 92, 0, 0, 0, 0, 70, 17, 179
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\db\jig\mapper.php", "PHP", 361, 0, 0, 0, 0, 153, 28, 542
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\db\jig\session.php", "PHP", 92, 0, 0, 0, 0, 85, 18, 195
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\db\mongo.php", "PHP", 70, 0, 0, 0, 0, 61, 15, 146
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\db\mongo\mapper.php", "PHP", 240, 0, 0, 0, 0, 139, 27, 406
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\db\mongo\session.php", "PHP", 92, 0, 0, 0, 0, 85, 18, 195
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\db\sql.php", "PHP", 369, 0, 0, 0, 0, 154, 30, 553
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\db\sql\mapper.php", "PHP", 534, 0, 0, 0, 0, 199, 35, 768
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\db\sql\session.php", "PHP", 119, 0, 0, 0, 0, 86, 18, 223
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\f3.php", "PHP", 10, 0, 0, 0, 0, 27, 6, 43
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\image.php", "PHP", 397, 0, 0, 0, 0, 187, 37, 621
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\log.php", "PHP", 29, 0, 0, 0, 0, 35, 8, 72
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\magic.php", "PHP", 46, 0, 0, 0, 0, 82, 16, 144
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\markdown.php", "PHP", 410, 0, 0, 0, 0, 136, 24, 570
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\matrix.php", "PHP", 61, 0, 0, 0, 0, 68, 11, 140
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\session.php", "PHP", 112, 0, 0, 0, 0, 94, 20, 226
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\smtp.php", "PHP", 243, 0, 0, 0, 0, 105, 16, 364
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\template.php", "PHP", 211, 0, 0, 0, 0, 120, 23, 354
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\test.php", "PHP", 39, 0, 0, 0, 0, 49, 11, 99
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\utf.php", "PHP", 78, 0, 0, 0, 0, 104, 18, 200
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\web.php", "PHP", 823, 0, 0, 0, 0, 171, 26, 1020
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\web\geo.php", "PHP", 67, 0, 0, 0, 0, 37, 8, 112
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\web\google\recaptcha.php", "PHP", 25, 0, 0, 0, 0, 27, 7, 59
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\web\google\staticmap.php", "PHP", 25, 0, 0, 0, 0, 32, 9, 66
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\web\oauth2.php", "PHP", 78, 0, 0, 0, 0, 70, 16, 164
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\web\openid.php", "PHP", 158, 0, 0, 0, 0, 76, 15, 249
"c:\xampp\htdocs\P002_PCTOProject\vendor\bcosca\fatfree-core\web\pingback.php", "PHP", 107, 0, 0, 0, 0, 59, 11, 177
"c:\xampp\htdocs\P002_PCTOProject\vendor\composer\ClassLoader.php", "PHP", 286, 0, 0, 0, 0, 235, 59, 580
"c:\xampp\htdocs\P002_PCTOProject\vendor\composer\InstalledVersions.php", "PHP", 178, 0, 0, 0, 0, 133, 49, 360
"c:\xampp\htdocs\P002_PCTOProject\vendor\composer\autoload_classmap.php", "PHP", 47, 0, 0, 0, 0, 1, 4, 52
"c:\xampp\htdocs\P002_PCTOProject\vendor\composer\autoload_namespaces.php", "PHP", 5, 0, 0, 0, 0, 1, 4, 10
"c:\xampp\htdocs\P002_PCTOProject\vendor\composer\autoload_psr4.php", "PHP", 5, 0, 0, 0, 0, 1, 4, 10
"c:\xampp\htdocs\P002_PCTOProject\vendor\composer\autoload_real.php", "PHP", 25, 0, 0, 0, 0, 4, 10, 39
"c:\xampp\htdocs\P002_PCTOProject\vendor\composer\autoload_static.php", "PHP", 55, 0, 0, 0, 0, 1, 6, 62
"c:\xampp\htdocs\P002_PCTOProject\vendor\composer\installed.json", "JSON", 0, 44, 0, 0, 0, 0, 1, 45
"c:\xampp\htdocs\P002_PCTOProject\vendor\composer\installed.php", "PHP", 32, 0, 0, 0, 0, 0, 1, 33
"c:\xampp\htdocs\P002_PCTOProject\vendor\composer\platform_check.php", "PHP", 21, 0, 0, 0, 0, 1, 5, 27
"c:\xampp\htdocs\P002_PCTOProject\view\home.php", "PHP", 40, 0, 0, 0, 0, 0, 3, 43
"Total", "-", 14060, 115, 201, 1, 1045, 4600, 1586, 21608
